code,parent,qty,item,procumenttype,pfep,level,Name,Spec
2529100084,2532000226,1,1,A,,1,出口悬臂总装,PF3200-04-05-00
2532000288,2529100084,1,1,A,,2,出口悬臂装配,PF3200-04-01-00
2532000140,2532000288,1,1,B,,3,出口悬臂安装板组焊,PF3200-04-01-01-00
2529100068,2532000140,1,1,N,,4,出口悬臂安装板,PF3200-04-01-01-01
2529100069,2532000140,1,2,N,,4,接触开关安装架,PF3200-04-01-01-02
2529100070,2532000140,1,3,N,,4,角度传感器安装件,PF3200-04-01-01-03
2529100071,2532000140,1,4,N,,4,逆止穿壁安装板,PF3200-04-01-01-04
2529100061,2532000140,1,5,N,,4,悬臂上安装架,PF3200-03-01-01-02
2529100062,2532000140,1,6,N,,4,悬臂端子排安装板,PF3200-03-01-01-04
2529100063,2532000140,2,7,N,,4,气管转接支架,PF3200-03-01-01-05
2529100064,2532000140,3,8,N,,4,直角加强筋,PF3200-03-01-01-06
2529100043,2532000140,1,9,N,,4,机箱电磁阀安装架,PF3200-01-02-01-03
2532000301,2532000288,1,2,B,,3,摆臂气缸安装块,PF3200-03-01-01-03
2532000289,2532000288,1,3,A,,3,角度传感器装配,PF3200-04-01-02-00
2532000116,2532000289,1,1,B,,4,角度传感器安装架,PF3200-04-01-02-01
2902001029,2532000289,1,2,B,,4,角度传感器用PCB,WDS36-5K-60°+ 3pin 2.54
1501056001,2902001029,1,1,P,,5,角度传感器,WDS36-5K-60°
1401008034,2532000289,3,3,B,,4,内六角平圆头螺钉,3*8不锈钢
2532000212,2532000288,1,4,B,,3,出口悬臂摆动轴,PF3200-04-01-03
2532000115,2532000288,2,5,B,,3,上下限位检测套,PF3200-04-01-04
2532000290,2532000288,1,6,A,,3,出口线缆安装板组件,PF3200-04-01-05-00
2529100014,2532000290,1,1,B,,4,出口悬臂线缆安装板-PCB,PF3200-04-01-05-02
1501159005,2532000290,1,2,B,,4,VGA PCB,15PIN 3排15孔
1501159006,2532000290,1,3,B,,4,D-sub PCB,15PIN 2排15孔
1501157002,2532000290,1,4,B,,4,直角穿板,APLM 6-M14X1
2532000114,2532000288,1,7,B,,3,悬臂摆动轴承座,PF3200-03-01-03
2532000275,2532000288,1,8,A,,3,摆臂三位阀组件,PF3200-03-01-04-00
2532000276,2532000288,1,9,A,,3,悬臂压力调节组件,PF3200-03-01-05-00
1501157002,2532000288,2,10,B,,3,直角穿板,APLM 6-M14X1
1503004070,2532000288,2,11,B,,3,插管弯头,APLJ6
1503002020,2532000288,2,12,B,,3,Y型三通,PY6
1503003026,2532000288,1,13,B,,3,隔板直通,φ6 APM6
1501059018,2532000288,1,14,B,,3,接近开关,E2E-X7D1-MIG-Z
1501059032,2532000288,1,15,B,,3,接近开关,E2E-X7D2-MIG-Z
1501056007,2532000288,1,16,B,,3,角度传感器联轴器,HRL 6*6 D=15  L=20
1402002004,2532000288,2,17,B,,3,轴承（进口）,6205
1403001008,2532000288,1,18,B,,3,轴用弹性挡圈,25
1401015016,2532000288,4,19,B,,3,内六角圆柱头螺钉,5*16不锈钢
1401015026,2532000288,4,20,B,,3,内六角圆柱头螺钉,6*16不锈钢
1401051038,2532000288,2,21,B,,3,六角头螺栓,5*12蓝白锌全螺纹
1401019008,2532000288,2,22,B,,3,六角螺母,M5不锈钢
1401027022,2532000288,6,23,B,,3,内六角平端紧定螺钉,5*10
1401010003,2532000288,4,24,B,,3,平垫圈,Φ3不锈钢
1401015040,2532000288,2,25,B,,3,内六角圆柱头螺钉,3*16不锈钢
1401015077,2532000288,2,26,B,,3,内六角圆柱头螺钉,3*25  不锈钢
1401008030,2532000288,6,27,B,,3,内六角平圆头螺钉,4*8不锈钢
1401019006,2532000288,2,28,B,,3,六角螺母,M4不锈钢
1401010004,2532000288,2,29,B,,3,平垫圈,Φ4不锈钢
1401011002,2532000288,2,30,B,,3,弹簧垫圈,Φ4 不锈钢
2532000291,2529100084,1,2,A,,2,出口摆臂组件,PF3200-04-02-00
2532000282,2532000291,1,1,A,,3,护绳器组件下,PF3200-03-07-00
2532000123,2532000291,1,2,B,,3,悬臂摆臂,PF3200-03-02-01
2529100005,2532000291,1,3,B,,3,悬臂摆臂轮轴-注塑轮,PF3200-03-02-06
2532000187,2532000291,1,4,B,,3,摆臂夹板B,PF3200-03-02-03
2532000124,2532000291,1,5,B,,3,摆臂夹板,PF3200-03-02-02
2523000484,2532000291,1,6,B,,3,定位套,PF4300-P-04
2529000031,2532000291,2,7,B,,3,注塑轮,280-35
2529100009,2532000291,1,8,B,,3,35注塑轮顶圈,PF3200-03-08-04
2529100010,2532000291,1,9,B,,3,35注塑轮外顶圈,PF3200-03-08-05
1401014005,2532000291,1,10,B,,3,内六角平端紧定螺钉,6*6不锈钢
1401015008,2532000291,4,11,B,,3,内六角圆柱头螺钉,4*16不锈钢
1401009035,2532000291,4,12,B,,3,内六角沉头螺钉,M5*20 不锈钢 全螺纹
2532000127,2529100084,1,3,B,,2,摆臂固定端盖,PF3200-03-03
2532000279,2529100084,1,4,A,,2,摆臂气缸组件,PF3200-03-04-00
2532000125,2529100084,1,5,B,,2,气缸端头销轴,PF3200-03-02-04
2532000283,2529100084,1,6,A,,2,上储线轮组件,PF3200-03-08-00
2532000138,2529100084,1,7,B,,2,出口悬臂后盖板,PF3200-04-03
2532000292,2529100084,1,8,A,,2,出口逆止机构组件,PF3200-04-04-00
2529100011,2532000292,1,1,B,,3,逆止安装架组焊-注塑轮,PF3200-04-04-12
2532000196,2532000292,1,2,B,,3,逆止箱体组焊,PF3200-04-04-02-00
2529100072,2532000196,1,1,N,,4,出口逆止箱体,PF3200-04-04-02-01
2529100073,2532000196,4,2,N,,4,逆止盖板安装架,PF3200-04-04-02-02
2532000197,2532000292,1,3,B,,3,逆止气缸固定座,PF3200-04-04-03
2532000198,2532000292,1,4,B,,3,逆止轮轴,PF3200-04-04-04
2532000293,2532000292,1,5,A,,3,逆止下滚轮组件,PF3200-04-04-05-00
2532000200,2532000293,1,1,B,,4,逆止下滚轮嵌套,PF3200-04-04-05-02
2529100026,2532000293,1,2,B,,4,逆止下滚轮,PF3200-04-04-05-01 纯白
2523000136,2532000293,1,3,B,,4,单向轴承键槽,SXJ（B）-J-附图
1402002003,2532000293,1,4,B,,4,轴承（进口）,6202
1403003011,2532000293,2,5,B,,4,孔用  弹性挡圈,35
1401015060,2532000293,6,6,B,,4,内六角圆柱头螺钉,4*12不锈钢
1103004069,2532000293,1,7,B,,4,平键,4*10   两头圆
2532000201,2532000292,1,6,B,,3,逆止摆臂轮轴,PF3200-04-04-06
2532000294,2532000292,1,7,A,,3,逆止内部摆杆组件,PF3200-04-04-07-00
2532000202,2532000294,1,1,B,,4,逆止内部摆臂,PF3200-04-04-07-01
2532000203,2532000294,1,2,B,,4,上止动轮轴,PF3200-04-04-07-02
1402001062,2532000294,1,3,B,,4,轴承,6000
1403003007,2532000294,1,4,B,,4,孔用  弹性挡圈,26
1401015008,2532000294,2,5,B,,4,内六角圆柱头螺钉,4*16不锈钢
1401011002,2532000294,2,6,B,,4,弹簧垫圈,Φ4 不锈钢
2532000295,2532000292,1,8,A,,3,逆止气缸组件,PF3200-04-04-09-00
2532000206,2532000295,1,1,B,,4,逆止气缸后座,PF3200-04-04-09-01
1401015017,2532000295,2,2,B,,4,内六角圆柱头螺钉,5*20不锈钢
1401010008,2532000295,2,3,B,,4,平垫圈,Φ5不锈钢
1401011003,2532000295,2,4,B,,4,弹簧垫圈,Φ5 不锈钢
1503010218,2532000295,1,5,B,,4,气缸,SDA16*50B
1503010219,2532000295,1,6,B,,4,气缸接头,F-M5*080I
1503005034,2532000295,2,7,B,,4,调速阀,PSL4M5A
2532000296,2532000292,1,9,A,,3,逆止手动阀组件,PF3200-04-04-10-00
1503015005,2532000296,1,1,B,,4,手板阀,4H210-06
1503024010,2532000296,2,2,B,,4,消音器,BSLM-01
1503003060,2532000296,1,3,B,,4,直通,PC601
1503004044,2532000296,2,4,B,,4,弯头,KQ2L04-01AS
2532000207,2532000292,1,10,B,,3,逆止箱盖板,PF3200-04-04-11
2529100027,2532000292,1,11,B,,3,上止动轮,PF3200-04-04-12 纯白
1401010008,2532000292,4,12,B,,3,平垫圈,Φ5不锈钢
1401011003,2532000292,4,13,B,,3,弹簧垫圈,Φ5 不锈钢
1401015016,2532000292,4,14,B,,3,内六角圆柱头螺钉,5*16不锈钢
1401008029,2532000292,2,15,B,,3,内六角平圆头螺钉,4*10不锈钢
1401009008,2532000292,4,16,B,,3,内六角沉头螺钉,5*10不锈钢全螺纹
1401024013,2532000292,1,17,B,,3,大平垫圈,6*18
1401015026,2532000292,1,18,B,,3,内六角圆柱头螺钉,6*16不锈钢
1401008030,2532000292,8,19,B,,3,内六角平圆头螺钉,4*8不锈钢
1401011003,2532000292,1,20,B,,3,弹簧垫圈,Φ5 不锈钢
1401024024,2532000292,1,21,B,,3,特大平垫圈,5*14
1401015014,2532000292,1,22,B,,3,内六角圆柱头螺钉,5*12不锈钢
1401024010,2532000292,1,23,B,,3,大平垫圈,4*16
1401015007,2532000292,1,24,B,,3,内六角圆柱头螺钉,4*10不锈钢
1401015010,2532000292,3,25,B,,3,内六角圆柱头螺钉,4*30不锈钢
1401019006,2532000292,3,26,B,,3,六角螺母,M4不锈钢
1401015014,2532000292,2,27,B,,3,内六角圆柱头螺钉,5*12不锈钢
1401008033,2532000292,1,28,B,,3,内六角平圆头螺钉,5*20不锈钢
1401049005,2532000292,1,29,B,,3,扣紧螺母,M5
1103004069,2532000292,1,30,B,,3,平键,4*10   两头圆
1501157002,2532000292,1,31,B,,3,直角穿板,APLM 6-M14X1
1503009025,2532000292,0.7,32,B,,3,气管,6 黑色
1902000011,2532000292,1,33,B,,3,标签,50x3 Warning Hand clamp
1401015027,2529100084,3,9,B,,2,内六角圆柱头螺钉,6*20不锈钢
1401015028,2529100084,4,10,B,,2,内六角圆柱头螺钉,6*30不锈钢
1401024024,2529100084,1,11,B,,2,特大平垫圈,5*14
1401011003,2529100084,1,12,B,,2,弹簧垫圈,Φ5 不锈钢
1401015014,2529100084,1,13,B,,2,内六角圆柱头螺钉,5*12不锈钢
1403001032,2529100084,1,14,B,,2,轴用弹性挡圈,9
1401015017,2529100084,3,15,B,,2,内六角圆柱头螺钉,5*20不锈钢
1401008029,2529100084,2,16,B,,2,内六角平圆头螺钉,4*10不锈钢
1401015015,2529100084,4,17,B,,2,内六角圆柱头螺钉,5*14不锈钢
1401011003,2529100084,4,18,B,,2,弹簧垫圈,Φ5 不锈钢
1401010008,2529100084,4,19,B,,2,平垫圈,Φ5不锈钢
1503009025,2529100084,3.5,20,B,,2,气管,6 黑色
1501027005,2529100084,0.01,21,B,,2,尼龙扎带,3*150
1702001393,2529100084,0.01,22,B,,2,自封塑料袋,120*170
2902001007,2529100084,1,23,B,,2,Wire harness 7#,Outlet Pendulum harness
1803022020,2902001007,1,1,P,,3,电磁阀,4V120-06B DC24V
2902001017,2529100084,1,24,B,,2,Wire harness 17#,Ground wire（2）200双O型
1401045003,2529100084,2,25,B,,2,锯齿垫,6
1401019003,2529100084,2,26,B,,2,六角螺母,M6 不锈钢
2902001018,2529100084,1,27,B,,2,Wire harness 18#,Ground wire（3）200单O单簧型
1902000009,2529100084,3,28,B,,2,标签,11x11 Ground
