Level	Material#	H	Drawing#	Name CN	Name EN	Desc	Mtype ID	Mtype Desc	Qty	Unit	Purchasing Type ID
.1…….	3523000007	→	PF4300-00A	总装配图	Main assembly				1	ea	A
..2……	2529005020	→	Assmebly in SOP	提升臂组装					1	ea	A
…3…..	2523000046	→	SXJ(B)-C-02	钢丝绳轮	Wheel				1	ea	B
…3…..	1402011006	→		无油润滑轴承	Bushing	JHIG20X23X15			1	ea	B
…3…..	2523000359	→	PF4300-C-08	提升板	Lifting plate				1	ea	B
….4….	2529005021	→	PF4300-C-08-01	提升板-件1	Lifting plate-1				1	ea	N
….4….	2529005022	→	PF4300-C-08-02	提升板-件2	Lifting plate-2				1	ea	N
….4….	2529005023	→	PF4300-C-08-03	提升板-件3	Lifting plate-3				1	ea	N
….4….	2529005024	→	PF4300-C-08-04	提升板-件4	Lifting plate-4				2	ea	N
….4….	2529005025	→	PF4300-C-08-05	提升板-件5	Lifting plate-5				1	ea	N
….4….	2529005026	→	PF4300-C-08-06	提升板-件6	Lifting plate-6				1	ea	N
….4….	2523000045	→	SXJ(B)-C-01	套	Bushing				1	ea	N
….4….	2523000714		PF4300-C-12	套	Bushing				1	ea	N
…3…..	1409016001	→		铜油嘴	Copper oil nipple	M10X1			1	ea	B
…3…..	2523000047	→	SXJ(B)-C-03	轮轴	Wheel shaft				1	ea	B
…3…..	1401015026	→		内六角圆柱头螺钉	Hexagon socket head screw	M6X16不锈钢 GB/T 70.1-2008			1	ea	B
…3…..	1401010005	→		平垫	Washer	D6不锈钢 GB/T 95-2002			1	ea	B
…3…..	1401011005	→		弹垫	Spring washer	D6不锈钢 GB/T 94.1-2008			1	ea	B
…3…..	2523000048	→	SXJ(B)-C-04	隔套	Spacer bushing				1	ea	B
…3…..	2523000049	→	SXJ(B)-C-05	挡圈	Retainer ring				1	ea	B
…3…..	1401015026	→		内六角圆柱头螺钉	Hexagon socket head screw	M6X16不锈钢 GB/T 70.1-2008			1	ea	B
…3…..	1401011005	→		弹垫	Spring washer	D6不锈钢 GB/T 94.1-2008			1	ea	B
…3…..	1401015029	→		内六角圆柱头螺钉	Hexagon socket head screw	M6X35不锈钢 GB/T 70.1-2008			2	ea	B
…3…..	1401011005	→		弹垫	Spring washer	D6不锈钢 GB/T 94.1-2008			2	ea	B
…3…..	1401010005	→		平垫	Washer	D6不锈钢 GB/T 95-2002			2	ea	B
..2……	2529005027	→	Assmebly in SOP	驱动箱体组装					1	ea	A
…3…..	2529000203	→	SXJ(B)-A-28A	箱体	Trunk				1	ea	B
….4….	2529005028	→	SXJ(B)-A-28-01	箱体-件1	Trunk-1				1	ea	N
