goodsid     code
----------- --------------------------------
14          1101001002
15          1101001003
16          1101001004
18          1101001005
29          1101001006
45          1101001007
59          1101001008
60          1101001009
63          1101001010
64          1101001011
75          1101001012
79          1101001013
83          1101001014
84          1101001015
86          1101001016
96          1101001017
99          1101001018
104         1101001019
109         1101001020
117         1101001021
118         1101001022
120         1101001023
121         1101001024
122         1101001025
132         1101001026
133         1101001027
137         1101001028
145         1101001029
148         1101001030
149         1101001031
150         1101001032
151         1101001033
152         1101001034
154         1101001035
164         1101001036
169         1101001037
173         1101001038
174         1101001039
175         1101001040
176         1101001041
177         1101001042
183         1101001043
188         1101001044
189         1101001045
190         1101001046
196         1101001047
197         1101001048
198         1101001049
203         1101001050
204         1101001051
205         1101001052
124         1101001053
156         1101001054
178         1101001055
119         1101001056
123         1101001057
72          1101001058
17304       1101001059
17330       1101001060
21881       1101001061
21882       1101001062
22633       1101001063
23208       1101001064
23868       1101001065
24843       1101001066
25022       1101001067
31600       1101001068
35663       1101001069
45319       1101001070
45380       1101001071
45381       1101001072
45382       1101001073
45384       1101001074
47891       1101001075
291         1101002001
490         1101002002
306         1101002003
504         1101002004
310         1101002005
529         1101002006
416         1101002007
460         1101002008
469         1101002009
345         1101002010
428         1101002011
381         1101002012
360         1101002013
320         1101002014
337         1101002015
406         1101002016
301         1101002017
438         1101002018
452         1101002019
21497       1101002020
25812       1101002021
26615       1101002022
27387       1101002023
27864       1101002024
29868       1101002025
284         1101003001
300         1101003002
319         1101003003
335         1101003004
358         1101003005
370         1101003006
379         1101003007
392         1101003008
404         1101003009
414         1101003010
425         1101003011
436         1101003012
446         1101003013
450         1101003014
466         1101003015
484         1101003016
521         1101003017
343         1101003018
17303       1101003019
17344       1101003020
25840       1101003021
287         1101004001
290         1101004002
292         1101004003
295         1101004004
303         1101004005
304         1101004006
307         1101004007
308         1101004008
311         1101004009
312         1101004010
313         1101004011
314         1101004012
317         1101004013
321         1101004014
323         1101004015
324         1101004016
326         1101004017
327         1101004018
328         1101004019
331         1101004020
333         1101004021
339         1101004022
340         1101004023
341         1101004024
346         1101004025
347         1101004026
348         1101004027
349         1101004028
351         1101004029
352         1101004030
353         1101004031
361         1101004032
363         1101004033
364         1101004034
365         1101004035
366         1101004036
367         1101004037
372         1101004038
373         1101004039
374         1101004040
375         1101004041
376         1101004042
383         1101004043
384         1101004044
387         1101004045
388         1101004046
389         1101004047
390         1101004048
397         1101004049
398         1101004050
399         1101004051
407         1101004052
409         1101004053
410         1101004054
411         1101004055
412         1101004056
419         1101004057
420         1101004058
421         1101004059
422         1101004060
426         1101004061
429         1101004062
430         1101004063
431         1101004064
432         1101004065
433         1101004066
440         1101004067
441         1101004068
442         1101004069
443         1101004070
453         1101004071
455         1101004072
459         1101004073
461         1101004074
462         1101004075
463         1101004076
471         1101004077
474         1101004078
475         1101004079
478         1101004080
479         1101004081
480         1101004082
481         1101004083
494         1101004084
495         1101004085
496         1101004086
497         1101004087
498         1101004088
500         1101004089
501         1101004090
506         1101004091
508         1101004092
509         1101004093
510         1101004094
511         1101004095
514         1101004096
517         1101004097
524         1101004098
526         1101004099
527         1101004100
531         1101004101
532         1101004102
535         1101004103
289         1101004104
516         1101004105
17307       1101004106
19221       1101004107
19222       1101004108
19223       1101004109
19224       1101004110
19225       1101004111
19226       1101004112
19227       1101004113
21887       1101004114
22811       1101004115
22881       1101004116
22882       1101004117
22883       1101004118
22884       1101004119
23792       1101004120
23838       1101004121
23839       1101004122
23840       1101004123
23841       1101004124
24478       1101004125
24048       1101004126
24621       1101004127
24729       1101004128
24755       1101004129
24756       1101004130
25168       1101004131
25194       1101004132
26494       1101004133
27291       1101004134
30798       1101004135
36738       1101004136
41966       1101004137
45140       1101004138
41          1101005001
395         1101005002
143         1101005003
33          1101005004
142         1101005005
396         1101005006
492         1101005007
186         1101005008
187         1101005009
293         1101005010
42          1101005011
18306       1101005012
23869       1101005013
24047       1101005014
29841       1101005015
30423       1101005016
31172       1101005017
35115       1101005018
37165       1101005019
3           1101006001
5           1101006002
141         1101006003
185         1101006004
31516       1101006005
13          1101007001
27          1101007002
28          1101007003
51          1101007004
52          1101007005
67          1101007006
68          1101007007
89          1101007008
90          1101007009
126         1101007010
127         1101007011
128         1101007012
129         1101007013
161         1101007014
163         1101007015
